"y0" "y"
101 100.884319157831
101 101.045667749710
101 101.032008994921
101 100.908965356059
101 101.002807367742
101 101.062664300866
101 101.009064635029
101 101.109483473931
101 101.029970003996
101 101.017301217734
101 101.006254480135
101 101.063552435928
101 100.953692458211
101 101.065506499800
101 101.100612661718
101 100.954326508056
101 101.142786695570
101 101.029410501965
101 100.786766754468
101 100.799327236265
101 101.044471858264
101 100.920578480443
101 100.995842723495
101 100.966981291182
101 101.038944126914
101 101.081903020924
101 100.959341626192
101 100.91178670233
101 101.144005416716
101 100.887376390629
101 100.944574965167
101 101.091008855012
101 100.897542159695
101 101.010855519196
101 100.857252639837
101 101.123987025809
101 101.106712090043
101 100.936674560274
101 100.994389923439
101 100.929703583933
101 100.906168365232
101 101.017140678377
101 100.959024809434
101 100.812431018741
101 101.009351680805
101 100.931293372999
101 101.02942613278
101 101.17557296549
101 100.988165292055
101 101.039345123069
101 100.808549533394
101 100.920109658214
101 101.109045481805
101 101.080119453411
101 100.865658619914
101 101.181103440189
101 100.944449299462
101 100.928008250306
101 100.939431697153
101 101.093370227587
101 101.079032420421
101 101.023075855007
101 101.144819253834
101 101.028808558849
101 101.029074382503
101 101.172227598951
101 100.973166202422
101 100.898204088525
101 101.082545544951
101 100.995515206050
101 101.046624653584
101 101.122733119469
101 100.971344974535
101 101.177240340558
101 100.923110865516
101 100.888945330100
101 100.989903890203
101 101.125249631179
101 100.805928254359
101 101.030013669143
101 101.071369789729
101 100.935377065464
101 101.059006483859
101 101.078851574255
101 100.923885510000
101 101.051986210842
101 101.015840339118
101 101.115323844470
101 101.129695936217
101 100.849950726570
101 100.954069359331
101 101.006054720906
101 100.993061178588
101 100.974366521218
101 100.927292955932
101 100.950576694764
101 100.964639338715
101 100.927162781754
101 100.920975528952
101 100.959404804894
101 100.938942255696
101 100.912760492056
101 101.177102917052
101 101.090154713515
101 100.974172393013
101 100.935244256169
101 101.234771617911
101 100.905561350320
101 101.108495720250
101 101.087643387392
101 100.926934853877
101 101.047015226134
101 101.069310116104
101 100.933283814965
101 101.096566046386
101 101.138766622327
101 100.965835722792
101 100.963092485224
101 101.064993107846
101 101.089495347921
101 100.879525052153
101 101.151532740443
101 101.053047667899
101 101.070562539379
101 100.851921576727
101 100.953035559491
101 100.831644742321
101 101.045125295492
101 101.029779719473
101 100.775893859651
101 100.967976373692
101 100.840886129130
101 101.005112199741
101 100.936091564207
101 100.997095374854
101 100.951091128852
101 100.981701538409
101 100.847076299633
101 100.901952036959
101 101.072993274122
101 101.089800500267
101 101.13480591693
101 101.096409550181
101 100.940100032325
101 101.123498550107
101 100.913870826261
101 101.15865151639
101 100.991942672061
101 101.060359622134
101 100.871196241138
101 100.937409322368
101 100.853998585046
101 100.978902752212
101 100.900201867491
101 100.984481359402
101 101.194644572802
101 100.981239983085
101 101.057568301158
101 101.154307270557
101 101.004392038867
101 100.937760608125
101 100.852902480199
101 101.028614521347
101 101.059959914654
101 100.929406412288
101 101.034995153611
101 100.868366663946
101 101.016839790345
101 100.799677502013
101 100.986420695834
101 100.868370697701
101 100.893554299348
101 101.028151174521
101 101.126606213264
101 100.983891290164
101 101.094187373513
101 101.083668083289
101 100.902163278556
101 100.928676798480
101 100.983082119563
101 100.763777804876
101 100.991560247434
101 101.032164668287
101 101.080126085605
101 101.003387212587
101 100.979120997455
101 100.898562505408
101 100.886025144265
101 100.965397003894
101 100.911441262869
101 100.895890336707
101 100.993577215206
101 101.037091277632
101 100.990197634988
101 101.056026880897
101 101.083044115365
101 101.055261110502
101 101.00021326976
101 100.953594109112
101 101.01515000211
101 101.038045288003
101 100.890574690904
101 101.038923709294
101 101.016207257868
101 100.979902988989
101 100.875292041391
101 101.051656599964
101 101.050674026122
101 100.897574582855
101 100.995652301322
101 100.9946274132
101 101.098734966271
101 101.113083742386
101 100.968183786696
101 100.949295437935
101 100.891940026297
101 100.903533133043
101 100.894617739120
101 101.162249904702
101 101.066328843167
101 101.092233083751
101 101.098985297306
101 101.010053025359
101 100.933955910353
101 101.015396196100
101 101.006667445635
101 101.048272313090
101 100.987223383172
101 101.076639792552
101 101.062295233793
101 100.917267634037
101 101.153707078717
101 101.030264187702
101 100.784353800951
101 101.065746888703
101 100.929008887523
101 101.039493653097
101 100.917890390199
101 101.163912589065
